Identification_number,name
PT501234567,Transportes Marítimos do Sul S.A.
PT501234567,Transportes Maritimos do Sul SA
PT501234567,Transportes Maritimos do Sul S.A
PT501234567,Trans. Marítimos do Sul S.A.
PT501234567,Transportes Maritimos Sul SA
PT502345678,Logística Global Lda.
PT502345678,Logistica Global Lda
PT502345678,Logistica Global Lda.
PT502345678,LOGISTICA GLOBAL LDA
PT502345678,Logistica Global
PT503456789,Importações e Exportações Ibéricas S.A.
PT503456789,Importacoes e Exportacoes Ibericas SA
PT503456789,Import. Export. Ibéricas S.A.
PT503456789,Importações Exportações Ibericas SA
PT503456789,Imp. e Exp. Ibéricas SA
PT504567890,Armadores Reunidos do Atlântico Lda.
PT504567890,Armadores Reunidos do Atlantico Lda
PT504567890,Armadores Reunidos do Atlantico Lda.
PT504567890,Armadores Reunidos Atlantico Lda
PT504567890,Armadores Reunidos Atlântico
PT505678901,Contentor Express Portugal S.A.
PT505678901,Contentor Express Portugal SA
PT505678901,Contentor Express Portugal
PT505678901,Contentor Expres Portugal SA
PT505678901,ContenorExpress Portugal S.A.
PT506789012,Grupo Porto Logistics Unipessoal Lda.
PT506789012,Grupo Porto Logistics Unipessoal Lda
PT506789012,Grupo Porto Logístics Unipessoal Lda.
PT506789012,Grp Porto Logistics Unipessoal Lda
PT506789012,Grupo Porto Logistics Lda
PT507890123,Marítima Sines e Algarve S.A.
PT507890123,Maritima Sines e Algarve SA
PT507890123,Maritima Sines e Algarve S.A.
PT507890123,Marítima Sines Algarve SA
PT507890123,Maritima de Sines e Algarve SA
PT508901234,Terminais Portuários Nacionais Lda.
PT508901234,Terminais Portuarios Nacionais Lda
PT508901234,Terminais Portuarios Nacionais Lda.
PT508901234,Terminal Portuario Nacional Lda
PT508901234,Terminais Portuarios Nac. Lda
PT509012345,Euro Cargo Shipping S.A.
PT509012345,EuroCargo Shipping SA
PT509012345,Euro Cargo Shiping SA
PT509012345,Euro Cargo Shipping S.A
PT509012345,Euro Cargo Ship. SA
PT510123456,Navegação Costeira Portuguesa Lda.
PT510123456,Navegacao Costeira Portuguesa Lda
PT510123456,Navegação Costeira Portuguesa Lda
PT510123456,Navegacao Costeira Portuguesa Lda.
PT510123456,Nav. Costeira Portuguesa Lda
BR12345678000190,Petrobras Transportes Brasil S.A.
BR12345678000190,Petrobras Transportes Brasil SA
BR12345678000190,Petrobras Transp. Brasil SA
BR12345678000190,Petrobras Transportes Brasil
BR12345678000190,PETROBRAS TRANSPORTES BRASIL SA
BR98765432000111,Armadores do Rio Lda. BR
BR98765432000111,Armadores do Rio Lda BR
BR98765432000111,Armadores do Rio BR
BR98765432000111,Armadores Rio Lda BR
BR98765432000111,Armadores do Rio Ltda BR
ES12345678A,Naviera Mediterránea Internacional S.L.
ES12345678A,Naviera Mediterranea Internacional SL
ES12345678A,Naviera Mediterranea Internacional S.L.
ES12345678A,Naviera Mediterrânea Internacional SL
ES12345678A,Nav. Mediterranea Internacional SL
ES87654321B,Iberflota Carga S.A.
ES87654321B,Iberflota Carga SA
ES87654321B,Iber Flota Carga SA
ES87654321B,IberFlota Carga S.A.
ES87654321B,Iberflota Cargas SA
PT511234567,Silva & Associados Transitários Lda.
PT511234567,Silva e Associados Transitarios Lda
PT511234567,Silva Associados Transitários Lda.
PT511234567,Silva & Assoc. Transitários Lda
PT511234567,Silva e Assoc. Transitarios Lda
PT512345678,Costa Ferreira Comércio Internacional S.A.
PT512345678,Costa Ferreira Comercio Internacional SA
PT512345678,Costa Ferreira Com. Internacional SA
PT512345678,Costa Ferreira Comercio Internac. SA
PT512345678,Costa Ferreira Comercio Internacional S.A.
PT513456789,Atlântico Norte Transitários S.A.
PT513456789,Atlantico Norte Transitarios SA
PT513456789,Atlantico Norte Transitarios S.A.
PT513456789,Atlântico Norte Transitarios SA
PT513456789,Atlantico Norte Trans. SA
PT514567890,Sousa & Filhos Despachos Aduaneiros Lda.
PT514567890,Sousa e Filhos Despachos Aduaneiros Lda
PT514567890,Sousa & Filhos Despacho Aduaneiro Lda
PT514567890,Sousa Filhos Despachos Aduaneiros Lda
PT514567890,Sousa e Filhos Despach. Aduaneiros Lda
PT515678901,Mota Engil Logística S.A.
PT515678901,Mota Engil Logistica SA
PT515678901,Mota-Engil Logística S.A.
PT515678901,Mota Engil Logistica S.A.
PT515678901,Mota Engil Log. SA
